gene_id	transcript_id	L01_fpkm	L02_fpkm	L03_fpkm	L04_fpkm	L05_fpkm	L06_fpkm	L07_fpkm	L08_fpkm	L09_fpkm
XLOC_000001	TCONS_00000001	187.808548	168.27478	173.401062	145.332657	148.215424	157.128006	165.732529	175.835617	182.398483
XLOC_000001	TCONS_00000002	0.11201	120.250427	1281.210327	1277.404175	174.709091	218.38945	2e-06	0.000306	132.588501
XLOC_000002	TCONS_00000003	22.423635	58.283928	23.340288	19.295902	34.080513	19.976114	19.721592	20.397238	68.240738
XLOC_000001	TCONS_00000005	284.739136	242.958481	280.596375	263.35907	4.62734	269.693695	245.529694	253.990936	262.977783
XLOC_000003	TCONS_00000008	374.849976	0	1.62693	0	0	0	0	1.385632	0
XLOC_000003	TCONS_00000009	28.700859	23.323847	36.134262	154.724792	0	0	0	0	0
XLOC_000003	TCONS_00000011	285.859467	250.138168	214.105331	431.208954	14.223964	4211.006836	4384.220703	0.003174	15.039645
XLOC_000003	TCONS_00000012	0.00195	352.685944	38.697605	0.001696	20.207121	18.389334	0.03262	0.00393	14.910151
XLOC_000003	TCONS_00000013	1.143668	0.855556	0.768865	0.130425	6.405203	41.534763	0.7895	0.173057	3.419406
XLOC_000003	TCONS_00000015	6.744606	5.846859	6.797723	10.397993	10.869544	7.617326	6.945738	5.393206	6.324819
XLOC_000003	TCONS_00000016	59.119896	4.215891	33.682991	19.847069	28.120056	33.2714	32.206142	27.246971	51.721733
XLOC_000003	TCONS_00000017	33.882278	31.568026	55.684433	29.476135	40.051224	34.337597	12.176234	25.130503	0.232139
XLOC_000001	TCONS_00000019	2006.245728	1999.772705	2080.401123	2381.553955	2106.942871	2025.296997	1681.8302	1712.696045	1829.230957
XLOC_000001	TCONS_00000020	8.674479	19.805006	6.484986	22.27009	18.763357	10.927785	25.275883	25.058208	6.275307
XLOC_000001	TCONS_00000021	157.922821	85.277313	123.874397	96.634895	88.967628	93.402107	101.048256	120.366417	115.839622
XLOC_000001	TCONS_00000024	0	89.130478	0.08992	0	0	0	0	0	0.029201
XLOC_000001	TCONS_00000025	4.022813	107.252106	0.547277	65.647285	5.885104	0	98.16008	13.113532	88.278938
