gene_id_x,transcript_id,L01_fpkm,L02_fpkm,L03_fpkm,L04_fpkm,L05_fpkm,L06_fpkm,L07_fpkm,L08_fpkm,L09_fpkm,transcript_type,known_or_novel,gene_id_y,class_code
XLOC_000001,TCONS_00000001,187.808548,168.27478,173.40106200000002,145.332657,148.215424,157.128006,165.732529,175.83561699999998,182.398483,protein_coding,novel,no_gene_id,x
XLOC_000001,TCONS_00000081,0.9840139999999999,0.197493,0.49845500000000004,5.428057,0.09958099999999999,1.715153,2.003485,1.043241,1e-06,protein_coding,novel,no_gene_id,x
XLOC_000001,TCONS_00000082,0.0,0.64541,0.0,0.0,0.81818,7.574139,10.767757000000001,0.0,0.0,protein_coding,novel,no_gene_id,x
XLOC_000003,TCONS_00000088,29.753428999999997,9.219049,12.756464,121.47390700000001,3.8965690000000004,105.803528,144.513092,14.840642,17.135195,protein_coding,novel,no_gene_id,x
XLOC_000001,TCONS_00000118,1.6930740000000002,2.026247,0.079055,2.048074,0.762476,3.156351,7.5e-05,3.382318,1.747393,protein_coding,novel,no_gene_id,x
XLOC_000007,TCONS_00000129,5.281289,5.317526,4.906183,6.866182000000001,5.6457559999999996,3.2940160000000005,5.05692,5.074763,4.730624,protein_coding,known,LOC100257674,equal
XLOC_000007,TCONS_00000130,1.6721669999999997,2.002248,1.9292040000000001,1.393867,1.680798,2.2590220000000003,2.5064599999999997,1.371945,2.0232349999999997,protein_coding,known,LOC100257674,equal
XLOC_000012,TCONS_00000131,4.115659,3.545095,3.626383,3.408489,3.288808,3.482815,3.3564830000000003,2.600458,3.321017,protein_coding,known,LOC100266436,equal
XLOC_000013,TCONS_00000132,2.855411,3.027201,3.429992,2.76986,2.851108,3.029187,1.5568819999999999,1.7712419999999998,1.591906,protein_coding,known,LOC100245772,equal
XLOC_000017,TCONS_00000134,12.597048,15.416735999999998,14.669651000000002,13.784163000000001,13.399932999999999,12.278116,14.543907,14.159842999999999,14.814421,protein_coding,known,LOC100250986,equal
XLOC_000019,TCONS_00000135,2.9367099999999997,2.047899,1.294902,0.538458,3.1307139999999998,2.774858,0.971091,3.1924240000000004,1.857609,protein_coding,known,LOC100247573,equal
XLOC_000032,TCONS_00000143,3.335207,1.356838,2.344736,1.86562,1.600539,1.796259,5.502484,4.135685,3.5009930000000002,protein_coding,known,LOC100250757,equal
XLOC_000034,TCONS_00000146,4.655458,3.5755529999999998,4.500657,4.945486,4.793575,4.8033209999999995,4.7390620000000006,4.488143,4.655564,protein_coding,known,LOC100245623,equal
XLOC_000039,TCONS_00000153,0.27001,0.9127709999999999,0.040713,1.49011,4.2673309999999995,0.692697,1.285308,0.069375,0.239456,protein_coding,known,LOC100242289,equal
XLOC_000046,TCONS_00000156,4.745538,5.0621849999999995,4.9899569999999995,2.611487,4.439948,4.5747860000000005,5.619680000000001,5.58154,4.866406,protein_coding,known,LOC100249185,equal
XLOC_000048,TCONS_00000157,36.259037,39.062121999999995,37.913277,46.646114000000004,48.160858000000005,48.453575,48.841015000000006,45.640209000000006,52.953663,protein_coding,known,LOC100853084,equal
XLOC_000054,TCONS_00000160,10.302153,9.737835,7.971462,9.805564,10.451678999999999,10.35675,9.98767,10.09958,9.730577,protein_coding,known,LOC100261141,equal
XLOC_000058,TCONS_00000164,86.55148299999999,83.417191,99.614891,94.744202,91.45658900000001,93.332848,94.38404799999999,96.37344399999999,96.900536,protein_coding,known,LOC100266271,equal
XLOC_000059,TCONS_00000165,89.722992,90.12017800000001,85.169464,59.690029,59.093196999999996,58.345314,80.069633,77.696838,77.90681500000001,protein_coding,known,LOC100261061,equal
XLOC_000062,TCONS_00000170,3.027358,0.0,1.982016,1.858122,2.152326,0.0,0.208015,0.0,0.773792,protein_coding,novel,no_gene_id,u
