transcript_id_1	transcript_type	known_or_novel	gene_id	class_code
TCONS_00000130	protein_coding	known	LOC100257674	equal
TCONS_00000129	protein_coding	known	LOC100257674	equal
TCONS_00000131	protein_coding	known	LOC100266436	equal
TCONS_00000132	protein_coding	known	LOC100245772	equal
TCONS_00000134	protein_coding	known	LOC100250986	equal
TCONS_00000135	protein_coding	known	LOC100247573	equal
TCONS_00000143	protein_coding	known	LOC100250757	equal
TCONS_00000146	protein_coding	known	LOC100245623	equal
TCONS_00000153	protein_coding	known	LOC100242289	equal
TCONS_00000156	protein_coding	known	LOC100249185	equal
TCONS_00000157	protein_coding	known	LOC100853084	equal
TCONS_00002517	protein_coding	known	LOC100853084	equal
TCONS_00000160	protein_coding	known	LOC100261141	equal
TCONS_00000164	protein_coding	known	LOC100266271	equal
TCONS_00000165	protein_coding	known	LOC100261061	equal
TCONS_00000173	protein_coding	known	LOC100264718	equal
TCONS_00000175	protein_coding	known	LOC109122935	equal
TCONS_00000183	protein_coding	known	LOC100252601	equal
TCONS_00000184	protein_coding	known	LOC100247494	equal
TCONS_00000186	protein_coding	known	LOC100266199	equal
TCONS_00000185	protein_coding	known	LOC100266199	equal
TCONS_00000190	protein_coding	known	LOC100262788	equal
TCONS_00004203	protein_coding	known	LOC100262788	equal
TCONS_00000191	protein_coding	known	LOC100242357	equal
TCONS_00002527	protein_coding	known	LOC100256051	equal
TCONS_00000207	protein_coding	known	LOC109123055	equal
TCONS_00000208	protein_coding	known	LOC100252664	equal
TCONS_00000209	protein_coding	known	LOC100853109	equal
TCONS_00000212	protein_coding	known	LOC100264713	equal
TCONS_00000211	protein_coding	known	LOC100264713	equal
TCONS_00000213	protein_coding	known	LOC100264641	equal
TCONS_00002530	protein_coding	known	LOC100259464	equal
TCONS_00000217	protein_coding	known	LOC100249022	equal
TCONS_00000220	protein_coding	known	LOC100261218	equal
TCONS_00000221	protein_coding	known	LOC100261218	equal
TCONS_00000231	protein_coding	known	LOC100256047	equal
TCONS_00000233	protein_coding	known	LOC100854962	equal
TCONS_00000235	protein_coding	known	LOC100242423	equal
TCONS_00000234	protein_coding	known	LOC100242423	equal
TCONS_00000237	protein_coding	known	LOC100257583	equal
TCONS_00000239	protein_coding	known	LOC100247342	equal
TCONS_00000241	protein_coding	known	LOC100255903	equal
